index,S1,C1,Fourier_1
2021-04-21,-1.344888088420518,0.28375673993063083,-1.0611313484898872
2021-04-20,-1.3528379873722733,0.2698577136077684,-1.082980273764505
2021-04-19,-1.3603875597984951,0.2558788320458559,-1.1045087277526393
2021-04-18,-1.367534571659241,0.2418242318208466,-1.1257103398383945
2021-04-17,-1.3742769080387176,0.227698071915064,-1.1465788361236535
2021-04-16,-1.3806125737711157,0.21350453248649182,-1.167108041284624
2021-04-15,-1.3865396940310148,0.19924781363179941,-1.1872918803992154
2021-04-14,-1.3920565148881714,0.18493213414346413,-1.2071243807447072
2021-04-13,-1.397161403826537,0.17056173026136365,-1.2265996735651734
2021-04-12,-1.4018528502273446,0.15614085441920483,-1.2457119958081397
2021-04-11,-1.4061294658161263,0.1416737739861584,-1.2644556918299679
2021-04-10,-1.4099899850735254,0.1271647700040778,-1.2828252150694475
2021-04-09,-1.4134332656097834,0.1126181359206684,-1.300815129689115
2021-04-08,-1.4164582885027932,0.09803817631898828,-1.3184201121838048
2021-04-07,-1.4190641585996124,0.08342920564365318,-1.3356349529559592
2021-04-06,-1.421250104781355,0.06879554692412108,-1.352454557857234
2021-04-05,-1.4230154801913775,0.05414153049544039,-1.368873949695937
2021-04-04,-1.4243597624266935,0.03947149271683245,-1.384888269709861
2021-04-03,-1.4252825536925624,0.02478977468849435,-1.400492779004068
2021-04-02,-1.4257835809202026,0.0101007209669968,-1.4156828599532059
2021-04-01,-1.4258626958475964,-0.004591321720339673,-1.430454017567936
2021-03-31,-1.4255198750633638,-0.01928200576171202,-1.4448018808250758
2021-03-30,-1.4247552200136906,-0.03396698394736165,-1.4587222039610523
2021-03-29,-1.423568956972308,-0.04864191075598541,-1.4722108677282935
2021-03-28,-1.4219614369735352,-0.06330244364064319,-1.4852638806141782
2021-03-27,-1.4199331357084022,-0.07794424431378913,-1.4978773800221914
2021-03-26,-1.4174846533838856,-0.09256298003104049,-1.5100476334149262
2021-03-25,-1.4146167145452975,-0.10715432487330534,-1.5217710394186028
2021-03-24,-1.411330167861881,-0.12171396102689305,-1.5330441288887742
2021-03-23,-1.4076259858756752,-0.13623758006122375,-1.5438635659368989
2021-03-22,-1.4035052647137243,-0.15072088420376206,-1.5542261489174862
2021-03-21,-1.3989692237637161,-0.1651595876117988,-1.564128811375515
2021-03-20,-1.394019205313146,-0.1795494176406988,-1.5735686229538448
2021-03-19,-1.3886566741521111,-0.19388611610824671,-1.582542790260358
2021-03-18,-1.382883217139857,-0.20816544055471056,-1.5910486576945677
2021-03-17,-1.3767005427351997,-0.22238316549825435,-1.5990837082334541
2021-03-16,-1.3701104804909652,-0.2365350836853261,-1.6066455641762913
2021-03-15,-1.3631149805125955,-0.2506170073356517,-1.6137319878482472
2021-03-14,-1.3557161128810806,-0.2646247693814668,-1.6203408822625474
2021-03-13,-1.3479160670403894,-0.27855422470061886,-1.626470291741008
2021-03-12,-1.3397171511495767,-0.29240125134317524,-1.632118402492752
2021-03-11,-1.3311217913997624,-0.3061617517511758,-1.6372835431509383
2021-03-10,-1.3221325312961827,-0.31983165397116387,-1.6419641852673466
2021-03-09,-1.3127520309055254,-0.3334069128591455,-1.6461589437646709
2021-03-08,-1.302983066068774,-0.34688351127761075,-1.6498665773463848
2021-03-07,-1.292828527579791,-0.36025746128426966,-1.6530859888640608
2021-03-06,-1.2822914203298859,-0.3735248053121497,-1.6558162256420355
2021-03-05,-1.2713748624186205,-0.3866816173407013,-1.6580564797593218
2021-03-04,-1.2600820842311105,-0.3997240040575729,-1.6598060882886834
2021-03-03,-1.2484164274821052,-0.41264810601070306,-1.6610645334928082
2021-03-02,-1.2363813442271192,-0.42545009875039486,-1.661831442977514
2021-03-01,-1.223980395840913,-0.43812619396103264,-1.6621065898019456
2021-02-28,-1.2112172519636264,-0.45067264058210477,-1.661889892545731
2021-02-27,-1.1980956894148722,-0.46308572591820285,-1.661181415333075
2021-02-26,-1.184619591076114,-0.475361776737669,-1.659981367813783
2021-02-25,-1.1707929447416598,-0.4874971603595628,-1.6582901051012227
2021-02-24,-1.1566198419386093,-0.4994882857286312,-1.6561081276672405
2021-02-23,-1.142104476716105,-0.5113316044779587,-1.6534360811940636
2021-02-22,-1.1272511444042468,-0.5230236119789866,-1.6502747563832334
2021-02-21,-1.112064240343032,-0.5345608483785892,-1.6466250887216214
2021-02-20,-1.0965482585817066,-0.5459398996228995,-1.642488158204606
2021-02-19,-1.080707790548902,-0.5571573984675829,-1.6378651890164848
2021-02-18,-1.064547523693957,-0.5682100254742594,-1.6327575491682165
2021-02-17,-1.0480722400998286,-0.5790945099927776,-1.6271667500926061
2021-02-16,-1.0312868150679937,-0.5898076311290541,-1.6210944461970478
2021-02-15,-1.0141962156757707,-0.6003462186981874,-1.614542434373958
2021-02-14,-0.9968054993064812,-0.6107071541625658,-1.6075126534690471
2021-02-13,-0.9791198121528883,-0.6208873715546943,-1.6000071837075827
2021-02-12,-0.9611443876943565,-0.6308838583844625,-1.592028246078819
2021-02-11,-0.9428845451481799,-0.6406936565305894,-1.5835782016787694
2021-02-10,-0.92434568789554,-0.6503138631159793,-1.574659551011519
2021-02-09,-0.9055333018825598,-0.6597416313667289,-1.5652749332492886
2021-02-08,-0.8864529539969226,-0.6689741714545351,-1.5554271254514576
2021-02-07,-0.8671102904205411,-0.6780087513222484,-1.5451190417427894
2021-02-06,-0.847511034958761,-0.6868426974923335,-1.5343537324510945
2021-02-05,-0.8276609873465952,-0.6954733958579943,-1.5231343832045896
2021-02-04,-0.8075660215324887,-0.7038982924567295,-1.5114643139892183
2021-02-03,-0.7872320839401228,-0.7121148942260924,-1.4993469781662152
2021-02-02,-0.7666651917087726,-0.7201207697414267,-1.4867859614501993
2021-02-01,-0.7458714309127389,-0.7279135499353654,-1.4737849808481043
2021-01-31,-0.7248569547603808,-0.7354909287988755,-1.4603478835592563
2021-01-30,-0.7036279817732821,-0.7428506640636425,-1.4464786458369248
2021-01-29,-0.682190793946091,-0.7499905778655953,-1.4321813718116863
2021-01-28,-0.6605517348875766,-0.7569085573893695,-1.417460292276946
2021-01-27,-0.6387172079434534,-0.7636025554935244,-1.402319763436978
2021-01-26,-0.6166936743015283,-0.7700705913163252,-1.3867642656178534
2021-01-25,-0.5944876510797301,-0.7763107508619107,-1.3707984019416408
2021-01-24,-0.5721057093975906,-0.7823211875666775,-1.354426896964268
2021-01-23,-0.5495544724317447,-0.7881001228457054,-1.3376545952774501
2021-01-22,-0.526840613456025,-0.7936458466190717,-1.3204864600750965
2021-01-21,-0.5039708538667333,-0.7989567178178894,-1.3029275716846227
2021-01-20,-0.4809519611936709,-0.8040311648699273,-1.2849831260635982
2021-01-19,-0.45779074709751844,-0.8088676861646626,-1.266658433262181
2021-01-18,-0.4344940653541548,-0.8134648504976321,-1.247958915851787
2021-01-17,-0.4110688098265156,-0.8178212974939484,-1.2288901073204639
2021-01-16,-0.3875219124245875,-0.8219357380108567,-1.2094576504354442
2021-01-15,-0.36386034105414494,-0.8258069545192132,-1.189667295573358
2021-01-14,-0.34009109755483447,-0.829433801463771,-1.1695248990186053
2021-01-13,-0.3162212156282179,-0.832815205602169,-1.149036421230387
2021-01-12,-0.29225775875638677,-0.8359501663225212,-1.1282079250789079
2021-01-11,-0.2682078181117644,-0.8388377559395136,-1.107045574051278
2021-01-10,-0.24407851045871395,-0.8414771199689216,-1.0855556304276355
2021-01-09,-0.21987697604757314,-0.8438674773804659,-1.063744453428039
2021-01-08,-0.1956103765017394,-0.846008120828931,-1.0416184973306704
2021-01-07,-0.17128589269843053,-0.847898416863481,-1.0191843095619115
2021-01-06,-0.1469107226437471,-0.8495378061151073,-0.9964485287588545
2021-01-05,-0.12249207934266718,-0.8509258034621551,-0.9734178828048222
2021-01-04,-0.0980371886646017,-0.8520619981738787,-0.9500991868384805
2021-01-03,-0.07355328720514366,-0.8529460540319833,-0.926499341237127
2021-01-02,-0.049047620144643034,-0.8535777094301173,-0.9026253295747604
2021-01-01,-0.024527439104241266,-0.8539567774512862,-0.8784842165555274
2020-12-31,-0.01839597627373585,-0.8540120628908281,-0.872408039164564
